phase theta,reflectance
157.562,3.201e-05
173.927,0.000189072
163.105,4.80647e-05
170.274,0.000153371
157.676,3.02698e-05
173.93,0.000188817
163.179,4.83151e-05
170.298,0.000153803
157.775,2.69885e-05
173.941,0.000187624
163.274,4.92736e-05
170.345,0.000154087
157.898,2.54243e-05
173.949,0.000186444
163.357,4.98474e-05
170.37,0.000154355
158.009,3.03807e-05
173.964,0.000189703
163.453,5.03504e-05
170.408,0.000155635
158.141,3.27749e-05
173.981,0.000190262
163.553,5.07187e-05
170.458,0.000156518
158.283,3.17358e-05
173.998,0.000190339
163.647,5.09753e-05
170.513,0.000157359
158.428,3.20454e-05
174.015,0.000192333
163.743,5.18972e-05
170.556,0.000158949
158.585,3.39342e-05
174.036,0.000192151
163.835,5.29617e-05
170.6,0.000159647
158.751,3.4405e-05
174.058,0.000191932
163.932,5.40296e-05
170.675,0.000161928
158.92,3.62934e-05
174.081,0.000191632
164.036,5.50433e-05
170.707,0.000163537
159.076,3.71694e-05
174.108,0.000191403
164.149,5.60735e-05
170.793,0.000166388
159.234,3.76315e-05
174.134,0.000195471
164.263,5.62534e-05
170.832,0.000168141
159.392,3.74387e-05
174.162,0.000192494
164.388,5.66232e-05
170.948,0.000168237
159.555,3.58235e-05
174.191,0.000194439
164.519,5.71534e-05
171.036,0.000170911
159.715,3.67892e-05
174.223,0.000194566
164.655,5.69607e-05
171.077,0.000172926
159.885,3.81604e-05
174.255,0.000195308
164.789,5.73335e-05
171.131,0.000174305
160.048,3.93655e-05
174.29,0.00019491
164.932,5.77242e-05
171.241,0.000175331
160.222,4.05008e-05
174.326,0.000196052
165.074,5.78571e-05
171.338,0.000176805
160.395,4.08172e-05
174.362,0.000197181
165.217,5.82854e-05
171.422,0.000180835
160.575,4.00451e-05
174.4,0.000200603
165.364,5.86675e-05
171.484,0.000183609
160.752,3.88093e-05
174.439,0.000203673
165.513,5.85819e-05
171.541,0.000185777
160.931,3.65348e-05
174.481,0.000204284
165.666,5.77112e-05
171.625,0.000188718
161.114,3.63915e-05
174.522,0.00020783
165.815,5.70372e-05
171.823,0.000196652
161.303,4.08919e-05
174.566,0.000212259
165.975,5.76384e-05
171.904,0.000195067
161.507,4.69404e-05
174.61,0.000214297
166.134,5.86891e-05
172.0,0.000199378
161.719,4.70992e-05
174.656,0.000215173
166.294,5.93515e-05
172.106,0.000207166
161.926,4.68823e-05
174.703,0.000220982
166.438,6.0127e-05
172.204,0.000211205
162.139,5.12875e-05
174.75,0.000222645
166.159,5.84461e-05
172.298,0.000214354
162.335,5.74682e-05
174.801,0.000224972
164.988,5.4068e-05
172.398,0.000216394
162.535,5.33983e-05
174.849,0.000226821
164.792,5.33095e-05
172.492,0.000219429
162.727,5.23389e-05
174.9,0.000229634
164.92,5.4007e-05
172.591,0.000221592
162.929,5.32538e-05
174.953,0.000232972
165.098,5.44568e-05
172.692,0.000224435
163.262,5.58402e-05
175.007,0.000236947
165.277,5.47777e-05
172.795,0.00022708
163.749,5.91074e-05
175.06,0.00024017
165.453,5.50409e-05
172.895,0.000229127
164.342,6.38678e-05
175.114,0.000244081
165.634,5.59399e-05
172.998,0.000233752
164.279,6.30671e-05
175.171,0.000247074
165.819,5.6994e-05
173.107,0.000234908
164.28,6.13618e-05
175.227,0.000249264
166.001,5.78612e-05
173.212,0.000238268
164.33,6.04148e-05
175.283,0.000250373
166.186,5.87966e-05
173.319,0.000240882
164.553,6.10838e-05
175.338,0.000254877
166.371,5.97186e-05
173.427,0.000242747
165.441,7.08966e-05
175.396,0.00026
166.562,6.0163e-05
173.538,0.000245851
165.979,7.59075e-05
175.455,0.000263405
166.748,5.93824e-05
173.647,0.000251496
166.317,7.85863e-05
175.515,0.000265663
166.936,6.22559e-05
173.757,0.000258426
166.523,7.83395e-05
175.577,0.000272535
167.129,6.47998e-05
173.871,0.000263996
166.898,8.26005e-05
175.636,0.000275346
167.319,6.52008e-05
173.989,0.000271541
167.099,8.41909e-05
175.696,0.000281935
167.514,6.5581e-05
174.119,0.000283256
167.264,8.71594e-05
175.757,0.000287225
167.758,6.67039e-05
174.244,0.000292267
167.575,9.22119e-05
175.827,0.000290575
168.015,6.95824e-05
174.35,0.000295914
167.816,9.40363e-05
175.912,0.000298243
168.215,7.06794e-05
174.468,0.000303862
168.174,0.000100828
175.988,0.000312199
168.412,7.04688e-05
174.6,0.000320961
168.459,0.000105597
176.046,0.000319578
168.605,7.09994e-05
174.726,0.000337709
168.852,0.00011293
176.108,0.000325269
168.802,7.24777e-05
174.84,0.000348055
169.175,0.0001162
176.172,0.000336879
168.998,7.40448e-05
174.952,0.000361112
168.832,0.000111885
176.24,0.000343325
169.197,7.69301e-05
175.066,0.000377241
169.779,0.000132614
176.304,0.000354455
169.392,7.82556e-05
175.177,0.00038868
170.105,0.000138957
176.367,0.000365692
169.589,7.87996e-05
175.288,0.000404763
170.353,0.000143547
176.43,0.000378562
169.589,7.87996e-05
175.399,0.000415849
170.568,0.000148022
176.492,0.000390653
169.982,7.66605e-05
175.507,0.000427729
170.825,0.000151666
176.554,0.000404393
170.18,8.27341e-05
175.615,0.000434468
171.023,0.000158507
176.614,0.000416861
170.376,8.19883e-05
175.721,0.000436394
171.258,0.000169167
176.676,0.000432527
170.571,7.98819e-05
175.826,0.000444296
171.443,0.000175385
176.735,0.000445951
170.808,8.6109e-05
175.926,0.000460191
171.69,0.000183328
176.794,0.000462921
171.077,0.000101082
176.026,0.000479025
171.824,0.000197603
176.852,0.000478981
171.273,0.000106042
176.122,0.000497339
171.784,0.000198744
176.91,0.000499808
171.469,0.00011011
176.249,0.000537027
171.916,0.00020413
176.965,0.000519473
171.661,0.000113854
176.356,0.000572914
172.153,0.000216334
177.02,0.00053504
171.852,0.000119426
176.44,0.000597532
172.44,0.000228404
177.073,0.000559836
172.043,0.000124389
176.523,0.000626856
172.618,0.000236605
177.124,0.000580292
172.229,0.000129044
176.639,0.00070209
172.893,0.000249527
177.174,0.000603199
172.418,0.000134863
176.722,0.000749293
173.092,0.000263166
177.221,0.000626412
172.601,0.00014069
176.788,0.000791401
173.374,0.000280708
177.267,0.000653352
172.782,0.00014424
176.849,0.00083442
173.512,0.000292172
177.31,0.000683476
172.963,0.000153706
176.904,0.000876698
173.654,0.000313722
177.344,0.000734501
173.141,0.000159961
176.951,0.000920428
173.849,0.000336597
177.363,0.000750695
173.316,0.000166076
176.992,0.00096332
174.015,0.000358979
177.404,0.000777742
173.499,0.000175381
177.024,0.000998526
174.157,0.000374835
177.445,0.000817043
173.758,0.0001974
177.049,0.00102819
174.289,0.000405104
177.482,0.00084419
173.932,0.000208681
177.065,0.00104694
174.408,0.000434832
177.515,0.000905036
174.091,0.000218833
177.073,0.00105505
174.518,0.000414623
177.536,0.000941239
174.243,0.000238378
177.071,0.00105736
174.544,0.000428418
177.556,0.00096613
177.061,0.00105189
174.574,0.000440977
177.572,0.000984214
177.046,0.00103478
174.569,0.000453517
177.584,0.00099852
177.048,0.00100707
174.615,0.000468762
177.593,0.00100912
176.967,0.000974236
